id	path	name	gender	born	died	desc	sets	scores	link	wikidata	wikipedia	imslp	image
451495	Andrée,_Elfrida	Elfrida Andrée	Female	1841	1929	Swedish organist, composer and conductor	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Andrée,+Elfrida	Q451495	https://en.wikipedia.org/wiki/Elfrida_Andrée	https://imslp.org/wiki/Category:Andrée,_Elfrida	https://upload.wikimedia.org/wikipedia/commons/5/55/Andrée,_Elfrida_i_VJ_6_1916.jpg
313669	Arriaga,_Juan_Crisóstomo_de	Juan Crisóstomo de Arriaga	Male	1806	1826	Spanish composer	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Arriaga,+Juan	Q313669	https://en.wikipedia.org/wiki/Juan_Crisóstomo_Arriaga	https://imslp.org/wiki/Category:Arriaga,_Juan_Crisóstomo_de	https://upload.wikimedia.org/wikipedia/commons/b/b1/Juan_de_Arriaga.jpg
83326	Bartók,_Béla	Béla Bartók	Male	1881	1945	Hungarian composer and pianist	2	6	https://musescore.com/openscore-string-quartets/sets?order=title&text=Bartók,+Béla	Q83326	https://en.wikipedia.org/wiki/Béla_Bartók	https://imslp.org/wiki/Category:Bartók,_Béla	https://upload.wikimedia.org/wikipedia/commons/6/66/Bartók_Béla_1927.jpg
255	Beethoven,_Ludwig_van	Ludwig van Beethoven	Male	1770	1827	German composer	8	30	https://musescore.com/openscore-string-quartets/sets?order=title&text=Beethoven,+Ludwig	Q255	https://en.wikipedia.org/wiki/Ludwig_van_Beethoven	https://imslp.org/wiki/Category:Beethoven,_Ludwig_van	https://upload.wikimedia.org/wikipedia/commons/6/6f/Beethoven.jpg
189766	Boccherini,_Luigi	Luigi Boccherini	Male	1743	1805	Italian composer and cellist	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Boccherini,+Luigi	Q189766	https://en.wikipedia.org/wiki/Luigi_Boccherini	https://imslp.org/wiki/Category:Boccherini,_Luigi	https://upload.wikimedia.org/wikipedia/commons/f/fb/LBoccherini.jpg
164004	Borodin,_Alexander	Alexander Borodin	Male	1833	1887	Russian composer, doctor and chemist	2	8	https://musescore.com/openscore-string-quartets/sets?order=title&text=Borodin,+Alexander	Q164004	https://en.wikipedia.org/wiki/Alexander_Borodin	https://imslp.org/wiki/Category:Borodin,_Aleksandr	https://upload.wikimedia.org/wikipedia/commons/7/70/Borodin.jpg
7294	Brahms,_Johannes	Johannes Brahms	Male	1833	1897	German composer, pianist and conductor	3	12	https://musescore.com/openscore-string-quartets/sets?order=title&text=Brahms,+Johannes	Q7294	https://en.wikipedia.org/wiki/Johannes_Brahms	https://imslp.org/wiki/Category:Brahms,_Johannes	https://upload.wikimedia.org/wikipedia/commons/8/86/Johannes_Brahms_by_Luckhardt_c1885.png
366636	Bridge,_Frank	Frank Bridge	Male	1879	1941	English composer and violist	2	7	https://musescore.com/openscore-string-quartets/sets?order=title&text=Bridge,+Frank	Q366636	https://en.wikipedia.org/wiki/Frank_Bridge	https://imslp.org/wiki/Category:Bridge,_Frank	
219551	Busoni,_Ferruccio	Ferruccio Busoni	Male	1866	1924	Italian composer, pianist, conductor, editor, born 1866	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Busoni,+Ferruccio	Q219551	https://en.wikipedia.org/wiki/Ferruccio_Busoni	https://imslp.org/wiki/Category:Busoni,_Ferruccio	https://upload.wikimedia.org/wikipedia/commons/3/35/FerruccioBusoni1913.jpg
241494	Carreño,_Teresa	Teresa Carreño	Female	1853	1917	Venezuelan classical pianist	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Carreño,+Teresa	Q241494	https://en.wikipedia.org/wiki/Teresa_Carreño	https://imslp.org/wiki/Category:Carreño,_Teresa	https://upload.wikimedia.org/wikipedia/commons/2/2b/Teresa_Carreño,_1916.jpg
20721	Cherubini,_Luigi	Luigi Cherubini	Male	1760	1842	Italian Classical and Romantic composer	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Cherubini,+Luigi	Q20721	https://en.wikipedia.org/wiki/Luigi_Cherubini	https://imslp.org/wiki/Category:Cherubini,_Luigi	https://upload.wikimedia.org/wikipedia/commons/6/61/Jean-Auguste-Dominique_Ingres_-_Luigi_Cherubini_-_Google_Art_Project.jpg
4700	Debussy,_Claude	Claude Debussy	Male	1862	1918	French composer	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Debussy,+Claude	Q4700	https://en.wikipedia.org/wiki/Claude_Debussy	https://imslp.org/wiki/Category:Debussy,_Claude	https://upload.wikimedia.org/wikipedia/commons/f/f9/Claude_Debussy_ca_1908,_foto_av_Félix_Nadar.jpg
312698	Delius,_Frederick	Frederick Delius	Male	1862	1934	English composer	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Delius,+Frederick	Q312698	https://en.wikipedia.org/wiki/Frederick_Delius	https://imslp.org/wiki/Category:Delius,_Frederick	https://upload.wikimedia.org/wikipedia/commons/3/37/Frederich_Delius_portrait_(5427720404)_(cropped).jpg
7298	Dvořák,_Antonín	Antonín Dvořák	Male	1841	1904	Czech composer	2	8	https://musescore.com/openscore-string-quartets/sets?order=title&text=Dvořák,+Antonín	Q7298	https://en.wikipedia.org/wiki/Antonín_Dvořák	https://imslp.org/wiki/Category:Dvořák,_Antonín	https://upload.wikimedia.org/wikipedia/commons/1/12/Dvorak.jpg
179631	Elgar,_Edward	Edward Elgar	Male	1857	1934	English composer	1	3	https://musescore.com/openscore-string-quartets/sets?order=title&text=Elgar,+Edward	Q179631	https://en.wikipedia.org/wiki/Edward_Elgar	https://imslp.org/wiki/Category:Elgar,_Edward	https://upload.wikimedia.org/wikipedia/commons/c/ce/Edward_Elgar.jpg
104919	Fauré,_Gabriel	Gabriel Fauré	Male	1845	1924	French composer, organist, pianist and teacher	1	3	https://musescore.com/openscore-string-quartets/sets?order=title&text=Fauré,+Gabriel	Q104919	https://en.wikipedia.org/wiki/Gabriel_Fauré	https://imslp.org/wiki/Category:Fauré,_Gabriel	https://upload.wikimedia.org/wikipedia/commons/9/91/FauréPirou1905.jpg
25872	Glazunov,_Alexander	Alexander Glazunov	Male	1865	1936	Russian composer, music teacher and conductor	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Glazunov,+Alexander	Q25872	https://en.wikipedia.org/wiki/Alexander_Glazunov	https://imslp.org/wiki/Category:Glazunov,_Aleksandr	https://upload.wikimedia.org/wikipedia/commons/3/3c/AlexanderGlazounov.jpg
180278	Gounod,_Charles	Charles Gounod	Male	1818	1893	French composer	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Gounod,+Charles	Q180278	https://en.wikipedia.org/wiki/Charles_Gounod	https://imslp.org/wiki/Category:Gounod,_Charles	https://upload.wikimedia.org/wikipedia/commons/e/e4/Charles_Gounod_(1890)_by_Nadar.jpg
80621	Grieg,_Edvard	Edvard Grieg	Male	1843	1907	Norwegian composer and pianist	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Grieg,+Edvard	Q80621	https://en.wikipedia.org/wiki/Edvard_Grieg	https://imslp.org/wiki/Category:Grieg,_Edvard	https://upload.wikimedia.org/wikipedia/commons/c/c0/Edvard_Grieg_(1888)_by_Elliot_and_Fry_-_02.jpg
7349	Haydn,_Joseph	Joseph Haydn	Male	1732	1809	Austrian composer	26	108	https://musescore.com/openscore-string-quartets/sets?order=title&text=Haydn,+Joseph	Q7349	https://en.wikipedia.org/wiki/Joseph_Haydn	https://imslp.org/wiki/Category:Haydn,_Joseph	https://upload.wikimedia.org/wikipedia/commons/6/69/Joseph_Haydn,_målning_av_Thomas_Hardy_från_1792.jpg
57286	Hensel,_Fanny_(Mendelssohn)	Fanny (Mendelssohn) Hensel	Female	1805	1847	German pianist and composer	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Hensel,+Fanny	Q57286	https://en.wikipedia.org/wiki/Fanny_Mendelssohn	https://imslp.org/wiki/Category:Hensel,_Fanny	https://upload.wikimedia.org/wikipedia/commons/0/0b/Fannymendelssohn-improved.jpg
313584	Indy,_Vincent_d’	Vincent d’Indy	Male	1851	1931	French composer and teacher	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Indy,+Vincent	Q313584	https://en.wikipedia.org/wiki/Vincent_d'Indy	https://imslp.org/wiki/Category:Indy,_Vincent_d'	https://upload.wikimedia.org/wikipedia/commons/8/8a/Vincent_d'Indy_1914.jpg
184933	Janáček,_Leoš	Leoš Janáček	Male	1854	1928	Czech composer	2	8	https://musescore.com/openscore-string-quartets/sets?order=title&text=Janáček,+Leoš	Q184933	https://en.wikipedia.org/wiki/Leoš_Janáček	https://imslp.org/wiki/Category:Janáček,_Leoš	https://upload.wikimedia.org/wikipedia/commons/7/7c/Leoš_Janáček.jpg
642243	Kalliwoda,_Johann_Wenzel	Johann Wenzel Kalliwoda	Male	1801	1866	Czech violinist and composer	1	4	https://musescore.com/openscore-string-quartets/sets?order=title&text=Kalliwoda,+Johann	Q642243	https://en.wikipedia.org/wiki/Jan_Kalivoda	https://imslp.org/wiki/Category:Kalliwoda,_Johann_Wenzel	https://upload.wikimedia.org/wikipedia/commons/1/13/Kalivoda.jpg
