id	path	name	link	musescore_version	imslp	set_id
7313978	Andrée,_Elfrida/String_Quartet_in_A_major	String Quartet in A major	https://musescore.com/openscore-string-quartets/scores/7313978	3.6.2	#415720	5108429
13744399	Arriaga,_Juan_Crisóstomo_de/String_Quartet_No.1_in_D_minor	String Quartet No.1 in D minor	https://musescore.com/openscore-string-quartets/scores/13744399	3.6.2	#33857	5116346
34038344	Arriaga,_Juan_Crisóstomo_de/String_Quartet_No.2_in_A_major	String Quartet No.2 in A major	https://musescore.com/openscore-string-quartets/scores/34038344	4.6.5	#576843	5116349
7383977	Arriaga,_Juan_Crisóstomo_de/String_Quartet_No.3_in_E-flat_Major	String Quartet No.3 in E-flat Major	https://musescore.com/openscore-string-quartets/scores/7383977	3.6.2	#576844	5116350
7295726	Bartók,_Béla/String_Quartet_No.1,_Op.7_(Sz.40)	String Quartet No.1, Op.7 (Sz.40)	https://musescore.com/openscore-string-quartets/scores/7295726	3.6.2	#18895	5108579
8741475	Bartók,_Béla/String_Quartet_No.2,_Op.17_(Sz.67)	String Quartet No.2, Op.17 (Sz.67)	https://musescore.com/openscore-string-quartets/scores/8741475	3.6.2	#18943	5530433
14387632	Beach,_Amy/String_Quartet,_Op._89	String Quartet, Op. 89	https://musescore.com/openscore-string-quartets/scores/14387632	3.6.2	#843310	6406540
10502527	Beethoven,_Ludwig_van/Grosse_Fuge_in_B-flat_major,_Op.133	Grosse Fuge in B-flat major, Op.133	https://musescore.com/openscore-string-quartets/scores/10502527	3.6.2	#04771	5108656
8071278	Beethoven,_Ludwig_van/String_Quartet_No.1,_Op.18_No.1	String Quartet No.1, Op.18 No.1	https://musescore.com/openscore-string-quartets/scores/8071278	3.6.2	#04755	5108454
10527526	Beethoven,_Ludwig_van/String_Quartet_No.12,_Op.127	String Quartet No.12, Op.127	https://musescore.com/openscore-string-quartets/scores/10527526	3.6.2	#04766	5108657
11539384	Beethoven,_Ludwig_van/String_Quartet_No.13_in_B♭_major,_Op.130	String Quartet No.13 in B♭ major, Op.130	https://musescore.com/openscore-string-quartets/scores/11539384	3.6.2	#04767	5108658
20090908	Beethoven,_Ludwig_van/String_Quartet_No.14_in_C♯_minor,_Op.131	String Quartet No.14 in C♯ minor, Op.131	https://musescore.com/openscore-string-quartets/scores/20090908	4.7.3	#04768 	5108659
12397213	Beethoven,_Ludwig_van/String_Quartet_No.16_in_F_major,_Op.135	String Quartet No.16 in F major, Op.135	https://musescore.com/openscore-string-quartets/scores/12397213	4.7.3	#04770	5108661
8853405	Beethoven,_Ludwig_van/String_Quartet_No.2,_Op.18_No.2	String Quartet No.2, Op.18 No.2	https://musescore.com/openscore-string-quartets/scores/8853405	3.6.2	#04756	5108476
8907120	Beethoven,_Ludwig_van/String_Quartet_No.3,_Op.18_No.3	String Quartet No.3, Op.18 No.3	https://musescore.com/openscore-string-quartets/scores/8907120	3.6.2	#04757	5108477
8913219	Beethoven,_Ludwig_van/String_Quartet_No.4,_Op.18_No.4	String Quartet No.4, Op.18 No.4	https://musescore.com/openscore-string-quartets/scores/8913219	3.6.2	#04758	5108478
9396439	Beethoven,_Ludwig_van/String_Quartet_No.5,_Op.18_No.5	String Quartet No.5, Op.18 No.5	https://musescore.com/openscore-string-quartets/scores/9396439	3.6.2	#04759	5108479
9719026	Beethoven,_Ludwig_van/String_Quartet_No.6,_Op.18_No.6	String Quartet No.6, Op.18 No.6	https://musescore.com/openscore-string-quartets/scores/9719026	3.6.2	#04760	5108480
7872392	Beethoven,_Ludwig_van/String_Quartet_No.9,_Op.59_No.3	String Quartet No.9, Op.59 No.3	https://musescore.com/openscore-string-quartets/scores/7872392	3.6.2	#04763	5193359
8955300	Berg,_Alban/String_Quartet,_Op.3	String Quartet, Op.3	https://musescore.com/openscore-string-quartets/scores/8955300	3.6.2	#22756	5108455
8454356	Boccherini,_Luigi/String_Quartet_in_A_major,_G.213_(Op.39)	String Quartet in A major, G.213 (Op.39)	https://musescore.com/openscore-string-quartets/scores/8454356	3.6.2	#78818	5108580
8811375	Borodin,_Alexander/String_Quartet_No.1	String Quartet No.1	https://musescore.com/openscore-string-quartets/scores/8811375	3.6.2	#114629	5108581
10675759	Borodin,_Alexander/String_Quartet_No.2	String Quartet No.2	https://musescore.com/openscore-string-quartets/scores/10675759	3.6.2	#644692	5108662
7108150	Brahms,_Johannes/String_Quartet_No.1,_Op.51_No.1	String Quartet No.1, Op.51 No.1	https://musescore.com/openscore-string-quartets/scores/7108150	4.7.4	#242305	5108531
7302602	Brahms,_Johannes/String_Quartet_No.2,_Op.51_No.2	String Quartet No.2, Op.51 No.2	https://musescore.com/openscore-string-quartets/scores/7302602	3.6.2	#242310	5108532
8928855	Brahms,_Johannes/String_Quartet_No.3,_Op.67	String Quartet No.3, Op.67	https://musescore.com/openscore-string-quartets/scores/8928855	3.6.2	#242312	5108542
8938822	Bridge,_Frank/String_Quartet_No.1,_H.70	String Quartet No.1, H.70	https://musescore.com/openscore-string-quartets/scores/8938822	3.6.2	#405431	5108724
9094235	Bridge,_Frank/String_Quartet_No.2,_H.115	String Quartet No.2, H.115	https://musescore.com/openscore-string-quartets/scores/9094235	3.6.2	#71919	5683980
11154985	Busoni,_Ferruccio/String_Quartet_No.1,_Op.19,_BV_208	String Quartet No.1, Op.19, BV 208	https://musescore.com/openscore-string-quartets/scores/11154985	3.6.2	#33482	5108682
22638631	Busoni,_Ferruccio/String_Quartet_No.2,_Op.26,_BV_225	String Quartet No.2, Op.26, BV 225	https://musescore.com/openscore-string-quartets/scores/22638631	3.6.2	#177534	5108683
7330550	Carreño,_Teresa/String_Quartet	String Quartet	https://musescore.com/openscore-string-quartets/scores/7330550	3.6.2	#65072	5108430
11164006	Cherubini,_Luigi/String_Quartet_No.1	String Quartet No.1	https://musescore.com/openscore-string-quartets/scores/11164006	3.6.2	#05713	5108725
25403263	Cras,_Jean/String_Quartet	String Quartet	https://musescore.com/openscore-string-quartets/scores/25403263	4.6.3	#380418	7377046
8661306	Debussy,_Claude/String_Quartet_in_G_minor,_Op.10	String Quartet in G minor, Op.10	https://musescore.com/openscore-string-quartets/scores/8661306	3.6.2	#11939	5108549
9790696	Delius,_Frederick/String_Quartet_in_E_minor	String Quartet in E minor	https://musescore.com/openscore-string-quartets/scores/9790696	3.6.2	#95663	5108663
19626475	Dittersdorf,_Carl_Ditters_von/String_Quartet_in_B-flat_major,_Kr.192	String Quartet in B-flat major, Kr.192	https://musescore.com/openscore-string-quartets/scores/19626475	3.6.2	#05716	5108726
27449398	Dittersdorf,_Carl_Ditters_von/String_Quartet_in_D_major,_Kr.191	String Quartet in D major, Kr.191	https://musescore.com/openscore-string-quartets/scores/27449398	4.5.2	#05715	5108727
35678303	Dittersdorf,_Carl_Ditters_von/String_Quartet_in_G_major,_Kr.193	String Quartet in G major, Kr.193	https://musescore.com/openscore-string-quartets/scores/35678303	4.7.4	#06724	14761979
24409123	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/24409123	4.7.4	#397407	13125367
24602446	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/24602446	4.7.4	#397407	13125367
24619027	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/24619027	4.7.4	#397407	13125367
24838828	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/24838828	4.7.4	#397407	13125367
24883141	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/24883141	4.7.4	#397407	13125367
25022848	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/25022848	4.7.4	#397407	13125367
25601941	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/25601941	4.7.4	#397407	13125367
25820692	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/25820692	4.7.4	#397407	13125367
26037754	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/26037754	4.7.4	#397407	13125367
26040274	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	https://musescore.com/openscore-string-quartets/scores/26040274	4.7.4	#397407	13125367
