id	path	name	movements	link	imslp	composer_id
5108429	Andrée,_Elfrida/String_Quartet_in_A_major	String Quartet in A major	4	https://musescore.com/openscore-string-quartets/sets/5108429	#415720	451495
5116346	Arriaga,_Juan_Crisóstomo_de/String_Quartet_No.1_in_D_minor	String Quartet No.1 in D minor	4	https://musescore.com/openscore-string-quartets/sets/5116346	#33857	313669
5116349	Arriaga,_Juan_Crisóstomo_de/String_Quartet_No.2_in_A_major	String Quartet No.2 in A major	4	https://musescore.com/openscore-string-quartets/sets/5116349	#576843	313669
5116350	Arriaga,_Juan_Crisóstomo_de/String_Quartet_No.3_in_E-flat_Major	String Quartet No.3 in E-flat Major	4	https://musescore.com/openscore-string-quartets/sets/5116350	#576844	313669
5108579	Bartók,_Béla/String_Quartet_No.1,_Op.7_(Sz.40)	String Quartet No.1, Op.7 (Sz.40)	3	https://musescore.com/openscore-string-quartets/sets/5108579	#18895	83326
5530433	Bartók,_Béla/String_Quartet_No.2,_Op.17_(Sz.67)	String Quartet No.2, Op.17 (Sz.67)	3	https://musescore.com/openscore-string-quartets/sets/5530433	#18943	83326
6406540	Beach,_Amy/String_Quartet,_Op._89	String Quartet, Op. 89	3	https://musescore.com/openscore-string-quartets/sets/6406540	#843310	235699
5108656	Beethoven,_Ludwig_van/Grosse_Fuge_in_B-flat_major,_Op.133	Grosse Fuge in B-flat major, Op.133	1	https://musescore.com/openscore-string-quartets/sets/5108656	#04771	255
5108454	Beethoven,_Ludwig_van/String_Quartet_No.1,_Op.18_No.1	String Quartet No.1, Op.18 No.1	4	https://musescore.com/openscore-string-quartets/sets/5108454	#04755	255
5108657	Beethoven,_Ludwig_van/String_Quartet_No.12,_Op.127	String Quartet No.12, Op.127	4	https://musescore.com/openscore-string-quartets/sets/5108657	#04766	255
5108658	Beethoven,_Ludwig_van/String_Quartet_No.13_in_B♭_major,_Op.130	String Quartet No.13 in B♭ major, Op.130	6	https://musescore.com/openscore-string-quartets/sets/5108658	#04767	255
5108659	Beethoven,_Ludwig_van/String_Quartet_No.14_in_C♯_minor,_Op.131	String Quartet No.14 in C♯ minor, Op.131	7	https://musescore.com/openscore-string-quartets/sets/5108659	#04768 	255
5108661	Beethoven,_Ludwig_van/String_Quartet_No.16_in_F_major,_Op.135	String Quartet No.16 in F major, Op.135	4	https://musescore.com/openscore-string-quartets/sets/5108661	#04770	255
5108476	Beethoven,_Ludwig_van/String_Quartet_No.2,_Op.18_No.2	String Quartet No.2, Op.18 No.2	4	https://musescore.com/openscore-string-quartets/sets/5108476	#04756	255
5108477	Beethoven,_Ludwig_van/String_Quartet_No.3,_Op.18_No.3	String Quartet No.3, Op.18 No.3	4	https://musescore.com/openscore-string-quartets/sets/5108477	#04757	255
5108478	Beethoven,_Ludwig_van/String_Quartet_No.4,_Op.18_No.4	String Quartet No.4, Op.18 No.4	4	https://musescore.com/openscore-string-quartets/sets/5108478	#04758	255
5108479	Beethoven,_Ludwig_van/String_Quartet_No.5,_Op.18_No.5	String Quartet No.5, Op.18 No.5	4	https://musescore.com/openscore-string-quartets/sets/5108479	#04759	255
5108480	Beethoven,_Ludwig_van/String_Quartet_No.6,_Op.18_No.6	String Quartet No.6, Op.18 No.6	5	https://musescore.com/openscore-string-quartets/sets/5108480	#04760	255
5193359	Beethoven,_Ludwig_van/String_Quartet_No.9,_Op.59_No.3	String Quartet No.9, Op.59 No.3	4	https://musescore.com/openscore-string-quartets/sets/5193359	#04763	255
5108455	Berg,_Alban/String_Quartet,_Op.3	String Quartet, Op.3	2	https://musescore.com/openscore-string-quartets/sets/5108455	#22756	78475
5108580	Boccherini,_Luigi/String_Quartet_in_A_major,_G.213_(Op.39)	String Quartet in A major, G.213 (Op.39)	4	https://musescore.com/openscore-string-quartets/sets/5108580	#78818	189766
5108581	Borodin,_Alexander/String_Quartet_No.1	String Quartet No.1	4	https://musescore.com/openscore-string-quartets/sets/5108581	#114629	164004
5108662	Borodin,_Alexander/String_Quartet_No.2	String Quartet No.2	4	https://musescore.com/openscore-string-quartets/sets/5108662	#644692	164004
5108531	Brahms,_Johannes/String_Quartet_No.1,_Op.51_No.1	String Quartet No.1, Op.51 No.1	4	https://musescore.com/openscore-string-quartets/sets/5108531	#242305	7294
5108532	Brahms,_Johannes/String_Quartet_No.2,_Op.51_No.2	String Quartet No.2, Op.51 No.2	4	https://musescore.com/openscore-string-quartets/sets/5108532	#242310	7294
5108542	Brahms,_Johannes/String_Quartet_No.3,_Op.67	String Quartet No.3, Op.67	4	https://musescore.com/openscore-string-quartets/sets/5108542	#242312	7294
5108724	Bridge,_Frank/String_Quartet_No.1,_H.70	String Quartet No.1, H.70	4	https://musescore.com/openscore-string-quartets/sets/5108724	#405431	366636
5683980	Bridge,_Frank/String_Quartet_No.2,_H.115	String Quartet No.2, H.115	3	https://musescore.com/openscore-string-quartets/sets/5683980		366636
5108682	Busoni,_Ferruccio/String_Quartet_No.1,_Op.19,_BV_208	String Quartet No.1, Op.19, BV 208	4	https://musescore.com/openscore-string-quartets/sets/5108682	#33482	219551
5108683	Busoni,_Ferruccio/String_Quartet_No.2,_Op.26,_BV_225	String Quartet No.2, Op.26, BV 225	4	https://musescore.com/openscore-string-quartets/sets/5108683	#177534	219551
5108430	Carreño,_Teresa/String_Quartet	String Quartet	4	https://musescore.com/openscore-string-quartets/sets/5108430	#65072	241494
5108725	Cherubini,_Luigi/String_Quartet_No.1	String Quartet No.1	4	https://musescore.com/openscore-string-quartets/sets/5108725	#05713	20721
7377046	Cras,_Jean/String_Quartet	String Quartet	4	https://musescore.com/openscore-string-quartets/sets/7377046	#380418	1685459
5108549	Debussy,_Claude/String_Quartet_in_G_minor,_Op.10	String Quartet in G minor, Op.10	4	https://musescore.com/openscore-string-quartets/sets/5108549	#11939	4700
5108663	Delius,_Frederick/String_Quartet_in_E_minor	String Quartet in E minor	4	https://musescore.com/openscore-string-quartets/sets/5108663		312698
5108726	Dittersdorf,_Carl_Ditters_von/String_Quartet_in_B-flat_major,_Kr.192	String Quartet in B-flat major, Kr.192	3	https://musescore.com/openscore-string-quartets/sets/5108726	#05716	78522
5108727	Dittersdorf,_Carl_Ditters_von/String_Quartet_in_D_major,_Kr.191	String Quartet in D major, Kr.191	3	https://musescore.com/openscore-string-quartets/sets/5108727	#05715	78522
14761979	Dittersdorf,_Carl_Ditters_von/String_Quartet_in_G_major,_Kr.193	String Quartet in G major, Kr.193	3	https://musescore.com/openscore-string-quartets/sets/14761979	#06724	78522
13125367	Dvořák,_Antonín/Echo_of_Songs,_B.152	Echo of Songs, B.152	12	https://musescore.com/openscore-string-quartets/sets/13125367	#397407	7298
5770845	Dvořák,_Antonín/String_Quartet_No.10,_Op.51	String Quartet No.10, Op.51	4	https://musescore.com/openscore-string-quartets/sets/5770845	#407265	7298
7369789	Dvořák,_Antonín/String_Quartet_No.11,_Op.61	String Quartet No.11, Op.61	4	https://musescore.com/openscore-string-quartets/sets/7369789	#316927	7298
5108664	Dvořák,_Antonín/String_Quartet_No.12,_Op.96_(“American”)	String Quartet No.12, Op.96 (“American”)	4	https://musescore.com/openscore-string-quartets/sets/5108664	#96276	7298
7369798	Dvořák,_Antonín/String_Quartet_No.14,_Op.105	String Quartet No.14, Op.105	4	https://musescore.com/openscore-string-quartets/sets/7369798	#54456	7298
7376728	Dvořák,_Antonín/String_Quartet_No.8,_Op.80	String Quartet No.8, Op.80	4	https://musescore.com/openscore-string-quartets/sets/7376728	#327645	7298
7369786	Dvořák,_Antonín/String_Quartet_No.9,_Op.34	String Quartet No.9, Op.34	4	https://musescore.com/openscore-string-quartets/sets/7369786	#12428	7298
5108550	Elgar,_Edward/String_Quartet,_Op.83	String Quartet, Op.83	3	https://musescore.com/openscore-string-quartets/sets/5108550	#17231	179631
5108666	Fauré,_Gabriel/String_Quartet,_Op.121	String Quartet, Op.121	3	https://musescore.com/openscore-string-quartets/sets/5108666	#23028	104919
5108685	Franck,_César/String_Quartet	String Quartet	4	https://musescore.com/openscore-string-quartets/sets/5108685	#01665	50187
